UMAP1,UMAP2,UMAP3,UMAP4,UMAP5,UMAP6,UMAP7,UMAP8,UMAP9,UMAP10,UMAP11,UMAP12,mode
8.280525,6.938349,3.0426905,-0.49990475,5.899268,0.6291569,2.3406432,7.56771,5.925138,5.1044817,6.9278455,3.5274825,1
8.080363,7.266819,2.0471818,1.1972463,5.7463856,1.4877771,3.5953422,7.455435,5.5564513,5.9784393,6.101045,4.687823,1
8.270371,6.9549356,1.7799232,0.8400599,5.7274036,0.67589724,2.9615376,7.4987745,4.817625,6.070746,6.9901085,4.0195446,1
7.999675,7.032417,2.176485,1.3810296,5.441254,1.4482378,3.6115725,7.1516943,5.786985,5.781818,6.036616,4.7025285,0
8.038476,7.7323084,1.4107542,-0.008089231,6.2625504,0.5796892,2.6400127,8.151791,4.6945944,6.3614492,7.2025905,3.686399,1
9.414189,6.6737065,4.178434,0.54736894,6.521306,2.043834,1.5831759,8.06933,4.6864185,5.5690355,7.0073814,4.5927367,1
8.440157,6.6764154,0.46637246,2.0747058,4.893052,0.0060402784,3.7983801,6.5332036,5.6511283,6.3193097,6.8260317,4.450854,0
8.417031,6.9229717,3.1648374,-0.5070334,6.03726,0.7201429,2.3257525,7.6673946,5.7361703,5.1535897,6.9997525,3.5764503,1
9.452592,6.9264483,3.794368,0.7150163,6.733454,2.0879447,1.677011,8.279602,4.691083,5.8361397,6.9013615,4.622632,1
9.337391,6.9962463,3.9870634,0.08754945,6.772494,1.882881,1.5215343,8.350193,5.0234084,5.4615965,6.9238863,4.416903,0
7.752712,7.2981167,2.7756643,-0.70583296,5.8909774,0.825397,1.9771751,7.828507,5.449007,5.0471907,7.005885,4.0584307,1
7.5681725,8.217964,2.1835415,-0.9422668,6.3630357,1.1645217,2.3254213,8.415322,5.9876533,5.2280517,6.360116,4.2691793,0
8.51164,7.5624633,1.5865939,0.50364554,6.321966,0.7725062,2.4244723,8.13038,4.993822,6.4938064,7.0025773,3.6515849,1
8.332123,7.225703,3.0308008,-0.8540338,6.472448,0.7968055,3.0252583,7.9743123,4.9511127,5.4700036,7.2616577,3.6032834,0
8.155943,7.6550136,1.4001147,0.27924767,6.1769433,0.6383302,2.4823956,8.081278,4.910189,6.392778,7.073778,3.6951566,1
8.282497,7.7635922,1.5822357,0.50670314,6.345622,1.0483942,2.776766,8.176096,5.0211315,6.4320545,6.747813,4.020881,0
7.994874,6.6502895,1.8301251,2.100562,4.980822,1.2735406,3.7329662,6.7318244,5.677682,5.983148,6.027676,4.768277,1
8.220454,7.1830754,3.085347,-0.8524028,6.0841994,0.6793321,2.1240723,7.818953,6.04969,4.9922895,6.8657985,3.544637,1
8.09705,7.4664435,2.9631116,-0.60079,6.2207875,1.0934526,2.6329215,7.9243393,6.085449,5.139426,6.520125,3.9567127,1
8.63636,6.7740865,0.026648683,2.2935205,4.81898,-0.31048515,3.8866527,6.4111576,5.6660757,6.4294405,6.981293,4.4836845,1
8.469688,7.676295,3.1367233,-1.0205543,6.6511726,1.0679764,2.4146614,8.290137,6.360387,5.150506,6.4914393,3.6179848,0
7.90168,6.6778293,2.1455863,1.5602205,5.047467,1.1640679,3.6698563,6.755623,5.833841,5.6256113,6.149084,4.633601,0
7.962161,7.7117796,1.6626616,-0.3785401,6.3116465,0.5330781,2.6917543,8.16626,4.700258,6.1258206,7.2770433,3.640563,1
8.073562,7.8179812,2.432433,-1.2790715,6.747105,0.68904567,2.9232068,8.455273,4.877607,5.5600624,7.191778,3.675441,0
8.354508,7.5526443,1.2867063,0.65183157,6.1799083,0.66388106,2.5432475,8.040718,4.7747746,6.6288834,7.0889106,3.6893198,1
9.40025,6.5795627,4.190373,0.27588204,6.505422,1.8144332,1.39448,8.047442,4.703955,5.4225197,7.1739736,4.360634,0
8.779665,7.2338634,3.6011932,-1.0803815,6.4700165,0.8111864,2.2328024,7.9891047,6.722146,4.863977,6.608517,3.2357771,1
9.295162,7.045713,3.3815582,0.45311633,6.77084,1.6943716,1.6784983,8.404553,4.5760508,5.8827763,7.0884604,4.3712473,1
8.669447,7.321342,2.273968,0.07527045,6.311983,0.69399226,2.4734366,7.948873,5.6477504,5.9937725,6.875997,3.3469217,0
7.84679,7.207735,2.7477822,-0.54169965,5.8287315,0.78921694,2.1236882,7.7303653,5.6042004,5.0596776,6.9055004,3.9996123,0
7.86279,6.746876,2.615411,0.6322887,5.3257375,0.9838463,3.3656378,6.9661098,5.75775,5.3564863,6.532956,4.2204356,1
7.932588,6.5753393,2.232549,1.6471404,5.036812,1.1807868,3.645779,6.6453314,5.4869766,5.999917,6.475992,4.320786,1
9.24803,7.1710725,3.0153425,0.46079803,6.8324637,1.5078571,1.9515967,8.443703,4.492028,6.1130433,7.1434393,4.184599,1
7.927585,6.6352973,1.934199,1.8415796,4.9788585,1.152092,3.586825,6.730063,5.639889,5.901455,6.208047,4.6131606,0
7.708543,7.514493,2.843976,-0.8258752,6.058614,1.063737,2.132054,8.01345,5.535224,4.948344,6.789394,4.2936616,0
9.508918,7.166809,3.505126,0.7192464,6.9504666,2.0599391,1.678475,8.521219,4.653322,6.0683284,6.8960676,4.573039,0
8.025605,6.899887,1.8242756,1.7711936,5.2669435,1.2947791,3.5245078,7.041373,5.542717,6.037272,6.1406555,4.6733565,1
8.237883,6.492712,2.422477,0.64391506,5.395588,0.535781,2.9443972,7.0656557,5.2705793,5.5244894,7.006195,3.8618865,0
9.567999,7.279626,3.3622644,0.5586867,7.0891886,1.891098,1.5603042,8.681158,4.614202,6.164203,7.0181127,4.386833,0
8.371847,6.6855974,3.0100117,0.39022535,5.6695986,0.9497889,3.2914903,7.108916,5.8824778,5.468514,6.666521,3.7308042,1
7.9712124,7.944038,2.5839493,-0.48183593,6.4208336,1.4079458,2.7985935,8.22828,6.139108,5.32966,6.173973,4.2976446,0
